Id,MSZoning,LotArea,LotShape,OverallCond,YearBuilt,RoofStyle,Foundation,TotalBsmtSF,Heating,Electrical,GrLivArea,KitchenQual,TotRmsAbvGrd,GarageType,GarageYrBlt,GarageArea,GarageCond,YrSold,SalePrice
1,RL,8450,Reg,5,2003,Gable,PConc,856,GasA,SBrkr,1710,Gd,8,Attchd,2003,548,TA,2008,208500
2,RL,9600,Reg,8,1976,Gable,CBlock,1262,GasA,SBrkr,1262,TA,6,Attchd,1976,460,TA,2007,181500
3,RL,11250,IR1,5,2001,Gable,PConc,920,GasA,SBrkr,1786,Gd,6,Attchd,2001,608,TA,2008,223500
4,RL,9550,IR1,5,1915,Gable,BrkTil,756,GasA,SBrkr,1717,Gd,7,Detchd,1998,642,TA,2006,140000
5,RL,14260,IR1,5,2000,Gable,PConc,1145,GasA,SBrkr,2198,Gd,9,Attchd,2000,836,TA,2008,250000
6,RL,14115,IR1,5,1993,Gable,Wood,796,GasA,SBrkr,1362,TA,5,Attchd,1993,480,TA,2009,143000
7,RL,10084,Reg,5,2004,Gable,PConc,1686,GasA,SBrkr,1694,Gd,7,Attchd,2004,636,TA,2007,307000
8,RL,10382,IR1,6,1973,Gable,CBlock,1107,GasA,SBrkr,2090,TA,7,Attchd,1973,484,TA,2009,200000
9,RM,6120,Reg,5,1931,Gable,BrkTil,952,GasA,FuseF,1774,TA,8,Detchd,1931,468,TA,2008,129900
10,RL,7420,Reg,6,1939,Gable,BrkTil,991,GasA,SBrkr,1077,TA,5,Attchd,1939,205,TA,2008,118000
11,RL,11200,Reg,5,1965,Hip,CBlock,1040,GasA,SBrkr,1040,TA,5,Detchd,1965,384,TA,2008,129500
12,RL,11924,IR1,5,2005,Hip,PConc,1175,GasA,SBrkr,2324,Ex,11,BuiltIn,2005,736,TA,2006,345000
13,RL,12968,IR2,6,1962,Hip,CBlock,912,GasA,SBrkr,912,TA,4,Detchd,1962,352,TA,2008,144000
14,RL,10652,IR1,5,2006,Gable,PConc,1494,GasA,SBrkr,1494,Gd,7,Attchd,2006,840,TA,2007,279500
15,RL,10920,IR1,5,1960,Hip,CBlock,1253,GasA,SBrkr,1253,TA,5,Attchd,1960,352,TA,2008,157000
16,RM,6120,Reg,8,1929,Gable,BrkTil,832,GasA,FuseA,854,TA,5,Detchd,1991,576,TA,2007,132000
17,RL,11241,IR1,7,1970,Gable,CBlock,1004,GasA,SBrkr,1004,TA,5,Attchd,1970,480,TA,2010,149000
18,RL,10791,Reg,5,1967,Gable,Slab,0,GasA,SBrkr,1296,TA,6,CarPort,1967,516,TA,2006,90000
19,RL,13695,Reg,5,2004,Gable,PConc,1114,GasA,SBrkr,1114,Gd,6,Detchd,2004,576,TA,2008,159000
20,RL,7560,Reg,6,1958,Hip,CBlock,1029,GasA,SBrkr,1339,TA,6,Attchd,1958,294,TA,2009,139000
21,RL,14215,IR1,5,2005,Gable,PConc,1158,GasA,SBrkr,2376,Gd,9,BuiltIn,2005,853,TA,2006,325300
22,RM,7449,Reg,7,1930,Gable,PConc,637,GasA,FuseF,1108,Gd,6,Attchd,1930,280,TA,2007,139400
23,RL,9742,Reg,5,2002,Hip,PConc,1777,GasA,SBrkr,1795,Gd,7,Attchd,2002,534,TA,2008,230000
24,RM,4224,Reg,7,1976,Gable,PConc,1040,GasA,SBrkr,1060,TA,6,Attchd,1976,572,TA,2007,129900
25,RL,8246,IR1,8,1968,Gable,CBlock,1060,GasA,SBrkr,1060,Gd,6,Attchd,1968,270,TA,2010,154000
26,RL,14230,Reg,5,2007,Gable,PConc,1566,GasA,SBrkr,1600,Gd,7,Attchd,2007,890,TA,2009,256300
27,RL,7200,Reg,7,1951,Gable,CBlock,900,GasA,SBrkr,900,Gd,5,Detchd,2005,576,TA,2010,134800
28,RL,11478,Reg,5,2007,Gable,PConc,1704,GasA,SBrkr,1704,Gd,7,Attchd,2008,772,TA,2010,306000
29,RL,16321,IR1,6,1957,Gable,CBlock,1484,GasA,SBrkr,1600,TA,6,Attchd,1957,319,TA,2006,207500
30,RM,6324,IR1,6,1927,Gable,BrkTil,520,GasA,SBrkr,520,Fa,4,Detchd,1920,240,TA,2008,68500
31,C (all),8500,Reg,4,1920,Gambrel,BrkTil,649,GasA,SBrkr,1317,TA,6,Detchd,1920,250,Fa,2008,40000
32,RL,8544,IR1,6,1966,Gable,CBlock,1228,GasA,SBrkr,1228,Gd,6,Attchd,1966,271,TA,2008,149350
33,RL,11049,Reg,5,2007,Gable,PConc,1234,GasA,SBrkr,1234,Gd,7,Attchd,2007,484,TA,2008,179900
34,RL,10552,IR1,5,1959,Hip,CBlock,1398,GasA,SBrkr,1700,Gd,6,Attchd,1959,447,TA,2010,165500
35,RL,7313,Reg,5,2005,Hip,PConc,1561,GasA,SBrkr,1561,Ex,6,Attchd,2005,556,TA,2007,277500
36,RL,13418,Reg,5,2004,Gable,PConc,1117,GasA,SBrkr,2452,Gd,9,BuiltIn,2004,691,TA,2006,309000
37,RL,10859,Reg,5,1994,Gable,PConc,1097,GasA,SBrkr,1097,TA,6,Attchd,1995,672,TA,2009,145000
38,RL,8532,Reg,6,1954,Hip,CBlock,1297,GasA,SBrkr,1297,TA,5,Attchd,1954,498,TA,2009,153000
39,RL,7922,Reg,7,1953,Gable,CBlock,1057,GasA,SBrkr,1057,Gd,5,Detchd,1953,246,TA,2010,109000
40,RL,6040,Reg,5,1955,Gable,PConc,0,GasA,FuseP,1152,Fa,6,NA,NA,0,NA,2008,82000
41,RL,8658,Reg,5,1965,Gable,CBlock,1088,GasA,SBrkr,1324,TA,6,Attchd,1965,440,TA,2006,160000
42,RL,16905,Reg,6,1959,Gable,CBlock,1350,GasA,SBrkr,1328,TA,5,Attchd,1959,308,TA,2007,170000
43,RL,9180,IR1,7,1983,Gable,CBlock,840,GasA,SBrkr,884,Gd,5,Attchd,1983,504,Gd,2007,144000
44,RL,9200,IR1,6,1975,Hip,CBlock,938,GasA,SBrkr,938,TA,5,Detchd,1977,308,TA,2008,130250
45,RL,7945,Reg,6,1959,Gable,CBlock,1150,GasA,FuseA,1150,TA,6,Attchd,1959,300,TA,2006,141000
46,RL,7658,Reg,5,2005,Hip,PConc,1752,GasA,SBrkr,1752,Ex,6,Attchd,2005,576,TA,2010,319900
47,RL,12822,IR1,5,2003,Gable,PConc,1434,GasA,SBrkr,2149,Gd,6,Attchd,2003,670,TA,2009,239686
48,FV,11096,Reg,5,2006,Gable,PConc,1656,GasA,SBrkr,1656,Gd,7,Attchd,2006,826,TA,2007,249700
49,RM,4456,Reg,5,1920,Gable,BrkTil,736,GasA,SBrkr,1452,TA,8,NA,NA,0,NA,2009,113000
50,RL,7742,Reg,7,1966,Gable,CBlock,955,GasA,SBrkr,955,TA,6,Attchd,1966,386,TA,2007,127000
51,RL,13869,IR2,6,1997,Gable,PConc,794,GasA,SBrkr,1470,TA,6,Attchd,1997,388,TA,2007,177000
52,RM,6240,Reg,6,1934,Gable,PConc,816,GasA,SBrkr,1176,TA,6,Detchd,1985,528,TA,2006,114500
53,RM,8472,IR2,5,1963,Gable,CBlock,816,GasA,SBrkr,816,TA,5,CarPort,1963,516,TA,2010,110000
54,RL,50271,IR1,5,1981,Gable,CBlock,1842,GasA,SBrkr,1842,Gd,5,Attchd,1981,894,TA,2006,385000
55,RL,7134,Reg,5,1955,Gable,CBlock,384,GasA,SBrkr,1360,TA,6,Detchd,1962,572,TA,2007,130000
56,RL,10175,IR1,5,1964,Gable,CBlock,1425,GasA,SBrkr,1425,TA,7,Attchd,1964,576,TA,2008,180500
57,FV,2645,Reg,5,1999,Gable,PConc,970,GasA,SBrkr,1739,Gd,7,Attchd,1999,480,TA,2009,172500
58,RL,11645,IR1,5,2004,Gable,PConc,860,GasA,SBrkr,1720,Gd,7,Attchd,2004,565,TA,2006,196500
59,RL,13682,IR2,5,2006,Hip,PConc,1410,GasA,SBrkr,2945,Gd,10,BuiltIn,2006,641,TA,2006,438780
60,RL,7200,Reg,7,1972,Gable,CBlock,780,GasA,SBrkr,780,TA,4,Detchd,1973,352,TA,2008,124900
61,RL,13072,Reg,5,2004,Gable,PConc,1158,GasA,SBrkr,1158,Gd,5,Detchd,2006,576,TA,2006,158000
62,RM,7200,Reg,7,1920,Gable,BrkTil,530,GasA,SBrkr,1111,Fa,6,Detchd,1935,288,TA,2007,101000
63,RL,6442,IR1,5,2006,Gable,PConc,1370,GasA,SBrkr,1370,Gd,6,Attchd,2006,484,TA,2007,202500
64,RM,10300,IR1,6,1921,Gable,BrkTil,576,GasA,SBrkr,1710,TA,9,Detchd,1990,480,TA,2010,140000
65,RL,9375,Reg,5,1997,Gable,PConc,1057,GasA,SBrkr,2034,Gd,8,Attchd,1998,645,TA,2009,219500
66,RL,9591,Reg,5,2004,Gable,PConc,1143,GasA,SBrkr,2473,Gd,9,BuiltIn,2004,852,TA,2007,317000
67,RL,19900,Reg,5,1970,Gable,CBlock,1947,GasA,SBrkr,2207,TA,7,Attchd,1970,576,TA,2010,180000
68,RL,10665,IR1,5,2003,Gable,PConc,1453,GasA,SBrkr,1479,Gd,7,Attchd,2003,558,TA,2007,226000
69,RM,4608,Reg,6,1945,Gable,CBlock,747,GasA,SBrkr,747,TA,4,Attchd,1945,220,TA,2010,80000
70,RL,15593,Reg,4,1953,Gable,CBlock,1304,GasW,SBrkr,2287,TA,7,Attchd,1953,667,TA,2006,225000
71,RL,13651,IR1,6,1973,Gable,CBlock,2223,GasA,SBrkr,2223,TA,8,Attchd,1973,516,TA,2007,244000
72,RL,7599,Reg,6,1982,Gable,CBlock,845,GasA,SBrkr,845,TA,4,Detchd,1987,360,TA,2007,129500
73,RL,10141,IR1,5,1998,Gable,PConc,832,GasA,SBrkr,1718,TA,7,Attchd,1998,427,TA,2009,185000
74,RL,10200,Reg,7,1954,Gable,CBlock,1086,GasA,SBrkr,1086,TA,6,Attchd,1989,490,TA,2010,144900
75,RM,5790,Reg,6,1915,Gambrel,CBlock,840,GasA,SBrkr,1605,TA,8,Detchd,1915,379,TA,2010,107400
76,RM,1596,Reg,5,1973,Gable,CBlock,462,GasA,SBrkr,988,TA,5,BuiltIn,1973,297,TA,2009,91000
77,RL,8475,IR1,7,1956,Gable,CBlock,952,GasA,FuseA,952,TA,4,Detchd,1956,283,TA,2008,135750
78,RM,8635,Reg,5,1948,Gable,CBlock,672,GasA,SBrkr,1285,TA,6,Detchd,1948,240,TA,2008,127000
79,RL,10778,Reg,5,1968,Hip,CBlock,1768,GasA,SBrkr,1768,TA,8,NA,NA,0,NA,2010,136500
80,RM,10440,Reg,6,1910,Gable,PConc,440,GasA,SBrkr,1230,TA,5,Detchd,1966,440,TA,2009,110000
81,RL,13000,Reg,6,1968,Gable,CBlock,896,GasA,SBrkr,2142,Gd,8,Attchd,1968,509,TA,2009,193500
82,RM,4500,Reg,5,1998,Hip,PConc,1237,GasA,SBrkr,1337,TA,5,Attchd,1998,405,TA,2006,153500
83,RL,10206,Reg,5,2007,Gable,PConc,1563,GasA,SBrkr,1563,Gd,6,Attchd,2007,758,TA,2008,245000
84,RL,8892,IR1,5,1960,Gable,CBlock,1065,GasA,SBrkr,1065,TA,6,Detchd,1974,461,TA,2007,126500
85,RL,8530,IR1,5,1995,Gable,PConc,384,GasA,SBrkr,1474,TA,7,BuiltIn,1995,400,TA,2009,168500
86,RL,16059,Reg,5,1991,Hip,CBlock,1288,GasA,SBrkr,2417,Gd,9,Attchd,1991,462,TA,2006,260000
87,RL,11911,IR2,5,2005,Gable,PConc,684,GasA,SBrkr,1560,Gd,6,BuiltIn,2005,400,TA,2009,174000
88,FV,3951,Reg,5,2009,Gable,PConc,612,GasA,SBrkr,1224,Gd,4,Detchd,2009,528,TA,2009,164500
89,C (all),8470,IR1,2,1915,Hip,CBlock,1013,GasA,SBrkr,1526,Fa,6,NA,NA,0,NA,2009,85000
90,RL,8070,Reg,5,1994,Gable,PConc,990,GasA,SBrkr,990,TA,5,NA,NA,0,NA,2007,123600
91,RL,7200,Reg,5,1950,Gable,Slab,0,GasA,FuseA,1040,TA,4,Detchd,1950,420,TA,2006,109900
92,RL,8500,Reg,3,1961,Hip,CBlock,1235,GasA,SBrkr,1235,TA,6,Attchd,1961,480,TA,2006,98600
93,RL,13360,IR1,7,1921,Gable,BrkTil,876,GasA,SBrkr,964,TA,5,Detchd,1921,432,TA,2009,163500
94,C (all),7200,Reg,6,1910,Hip,BrkTil,1214,GasW,SBrkr,2291,TA,9,Detchd,1900,506,TA,2007,133900
95,RL,9337,IR1,5,1997,Gable,PConc,824,GasA,SBrkr,1786,Gd,7,Attchd,1997,684,TA,2007,204750
96,RL,9765,IR2,8,1993,Gable,PConc,680,GasA,SBrkr,1470,TA,6,BuiltIn,1993,420,TA,2009,185000
97,RL,10264,IR1,5,1999,Gable,PConc,1588,GasA,SBrkr,1588,Gd,6,Attchd,1999,472,TA,2006,214000
98,RL,10921,Reg,5,1965,Hip,CBlock,960,GasA,FuseF,960,TA,6,Attchd,1965,432,TA,2007,94750
99,RL,10625,Reg,5,1920,Gable,BrkTil,458,GasA,SBrkr,835,TA,5,Basment,1920,366,TA,2010,83000
100,RL,9320,IR1,5,1959,Gable,CBlock,950,GasA,SBrkr,1225,TA,6,NA,NA,0,NA,2010,128950
101,RL,10603,IR1,7,1977,Gable,PConc,1610,GasA,SBrkr,1610,Gd,6,Attchd,1977,480,TA,2010,205000
102,RL,9206,Reg,5,1985,Gable,CBlock,741,GasA,SBrkr,1732,Gd,7,Attchd,1985,476,TA,2010,178000
103,RL,7018,Reg,5,1979,Gable,Slab,0,GasA,SBrkr,1535,TA,8,Attchd,1979,410,TA,2009,118964
104,RL,10402,IR1,5,2009,Gable,PConc,1226,GasA,SBrkr,1226,Gd,6,Attchd,2009,740,TA,2010,198900
105,RM,7758,Reg,4,1931,Gable,PConc,1040,GasA,FuseF,1818,TA,7,Detchd,1951,240,TA,2007,169500
106,FV,9375,Reg,5,2003,Hip,PConc,1053,GasA,SBrkr,1992,Gd,9,Attchd,2003,648,TA,2008,250000
107,RM,10800,Reg,7,1885,Mansard,BrkTil,641,GasA,SBrkr,1047,TA,6,Detchd,1954,273,Fa,2007,100000
108,RM,6000,Reg,5,1948,Gable,CBlock,789,GasA,SBrkr,789,TA,5,Detchd,1948,250,TA,2008,115000
109,RM,8500,Reg,7,1919,Gable,CBlock,793,GasW,FuseF,1517,Fa,7,NA,NA,0,NA,2007,115000
110,RL,11751,IR1,6,1977,Hip,CBlock,1844,GasA,SBrkr,1844,TA,7,Attchd,1977,546,TA,2010,190000
111,RL,9525,Reg,4,1954,Gable,CBlock,994,GasA,SBrkr,1855,TA,7,Attchd,1954,325,TA,2006,136900
112,RL,7750,IR1,5,2000,Gable,PConc,384,GasA,SBrkr,1430,TA,7,BuiltIn,2000,400,TA,2010,180000
113,RL,9965,Reg,5,2007,Gable,PConc,1264,GasA,SBrkr,2696,Ex,10,BuiltIn,2007,792,TA,2007,383970
114,RL,21000,Reg,5,1953,Hip,CBlock,1809,GasA,SBrkr,2259,Gd,7,Basment,1953,450,TA,2007,217000
115,RL,7259,IR1,8,1945,Gambrel,CBlock,1028,GasA,SBrkr,2320,Gd,9,Detchd,1945,180,TA,2007,259500
116,FV,3230,Reg,5,1999,Gable,PConc,729,GasA,SBrkr,1458,TA,5,Detchd,1999,440,TA,2007,176000
117,RL,11616,Reg,5,1962,Gable,CBlock,1092,GasA,SBrkr,1092,TA,6,Attchd,1962,288,TA,2009,139000
118,RL,8536,Reg,5,2006,Gable,PConc,1125,GasA,SBrkr,1125,TA,5,Attchd,2007,430,TA,2007,155000
119,RL,12376,Reg,5,1990,Hip,PConc,1673,GasA,SBrkr,3222,Gd,11,Attchd,1990,594,TA,2010,320000
120,RL,8461,Reg,5,2005,Gable,PConc,728,GasA,SBrkr,1456,Gd,8,Attchd,2005,390,TA,2006,163990
121,RL,21453,IR1,5,1969,Flat,CBlock,938,GasA,SBrkr,988,TA,4,Attchd,1969,540,TA,2006,180000
122,RM,6060,Reg,5,1939,Gable,PConc,732,GasA,SBrkr,1123,TA,4,Detchd,1979,264,TA,2007,100000
123,RL,9464,Reg,7,1958,Hip,CBlock,1080,GasA,SBrkr,1080,TA,5,Attchd,1958,288,TA,2008,136000
124,RL,7892,Reg,5,1993,Gable,PConc,1199,GasA,SBrkr,1199,Gd,5,Attchd,1993,530,TA,2008,153900
125,RL,17043,IR1,5,1979,Gable,CBlock,1362,GasA,SBrkr,1586,TA,7,Attchd,1979,435,TA,2009,181000
126,RM,6780,Reg,8,1935,Gable,CBlock,520,GasA,SBrkr,754,TA,5,NA,NA,0,NA,2006,84500
127,RL,4928,IR1,5,1976,Gable,CBlock,1078,GasA,SBrkr,958,TA,5,Attchd,1977,440,TA,2007,128000
128,RM,4388,IR1,7,1930,Gable,BrkTil,672,GasA,SBrkr,840,TA,5,NA,NA,0,NA,2007,87000
129,RL,7590,Reg,5,1966,Gable,CBlock,660,GasA,SBrkr,1348,TA,6,Attchd,1966,453,TA,2006,155000
130,RL,8973,Reg,7,1958,Gable,CBlock,1008,GasA,FuseA,1053,Ex,6,2Types,1998,750,TA,2006,150000
131,RL,14200,Reg,6,1966,Gable,CBlock,924,GasA,SBrkr,2157,Gd,8,Attchd,1966,487,TA,2006,226000
132,RL,12224,IR1,5,2000,Gable,PConc,992,GasA,SBrkr,2054,Gd,7,BuiltIn,2000,390,TA,2009,244000
133,RL,7388,Reg,6,1959,Gable,CBlock,1063,GasA,SBrkr,1327,Gd,7,Detchd,1974,624,TA,2007,150750
134,RL,6853,IR1,5,2001,Gable,PConc,1267,GasA,SBrkr,1296,Gd,6,Attchd,2001,471,TA,2009,220000
135,RL,10335,IR1,6,1968,Gable,CBlock,1461,GasA,SBrkr,1721,TA,7,Attchd,1968,440,TA,2006,180000
136,RL,10400,Reg,6,1970,Hip,PConc,1304,GasA,SBrkr,1682,TA,7,Attchd,1970,530,TA,2008,174000
137,RL,10355,IR1,5,1967,Gable,CBlock,1214,GasA,SBrkr,1214,TA,5,Attchd,1967,318,TA,2007,143000
138,RL,11070,Reg,5,1988,Gable,CBlock,1907,GasA,SBrkr,1959,TA,9,2Types,1989,766,TA,2006,171000
139,RL,9066,IR1,5,1999,Gable,PConc,1004,GasA,SBrkr,1852,Gd,7,Attchd,1999,660,TA,2008,230000
140,RL,15426,IR1,5,1997,Gable,PConc,928,GasA,SBrkr,1764,Gd,7,Attchd,1997,470,TA,2009,231500
141,RL,10500,Reg,5,1971,Gable,CBlock,864,GasA,SBrkr,864,TA,5,NA,NA,0,NA,2010,115000
142,RL,11645,Reg,5,2005,Gable,PConc,1734,GasA,SBrkr,1734,Gd,7,Attchd,2005,660,TA,2006,260000
143,RL,8520,Reg,4,1952,Gable,CBlock,910,GasA,SBrkr,1385,TA,6,Detchd,2000,720,TA,2010,166000
144,RL,10335,IR1,5,1999,Gable,PConc,1490,GasA,SBrkr,1501,Gd,6,Attchd,1999,577,TA,2009,204000
145,RM,9100,Reg,5,1963,Gable,CBlock,1728,GasA,SBrkr,1728,TA,10,Detchd,1963,504,TA,2006,125000
146,RM,2522,Reg,5,2004,Gable,PConc,970,GasA,SBrkr,1709,Gd,7,Detchd,2004,380,TA,2006,130000
147,RM,6120,Reg,7,1931,Gable,BrkTil,715,GasA,FuseA,875,TA,5,Detchd,1931,180,TA,2009,105000
148,RL,9505,IR1,5,2001,Gable,PConc,884,GasA,SBrkr,2035,Gd,8,BuiltIn,2001,434,TA,2010,222500
149,RL,7500,Reg,5,2004,Gable,PConc,1080,GasA,SBrkr,1080,Gd,6,NA,NA,0,NA,2008,141000
150,RM,6240,Reg,4,1936,Gable,BrkTil,896,GasA,FuseA,1344,TA,7,Detchd,1936,240,TA,2006,115000
151,RL,10356,Reg,6,1975,Gable,CBlock,969,GasA,SBrkr,969,TA,5,Attchd,1975,440,TA,2007,122000
152,RL,13891,Reg,5,2007,Hip,PConc,1710,GasA,SBrkr,1710,Gd,6,Attchd,2007,866,TA,2008,372402
153,RL,14803,IR1,5,1971,Gable,CBlock,825,GasA,SBrkr,1993,TA,8,Attchd,1971,495,TA,2006,190000
